Organization Name,Organization Name URL,Industries,Headquarters Location,Estimated Revenue Range,Operating Status,Company Type,Website,Full Description,Headquarters Regions,Founded Date,Founded Date Precision,Contact Email,Phone Number,LinkedIn,Facebook,Twitter,SimilarWeb - Monthly Visits,IPO Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Employees,Industry Groups,Stock Symbol,Stock Symbol URL
Forensic Logic,https://www.crunchbase.com/organization/forensic-logic,"Information Services, Law Enforcement, Legal","Walnut Creek, California, United States",$1M to $10M,Active,,http://www.forensiclogic.com,Forensic Logic is a company founded on a simple idea: there is too much crime on our streets because critical information is inaccessible or unusable to our nation’s law enforcement. That’s why we have assembled the largest database of local law enforcement data in the country and matched it with some of the most robust and intuitive crime search and analysis tools ever built. The result is an inexpensive and powerful platform that unleashes the power of law enforcement data in ways that have never been done before.,"San Francisco Bay Area, West Coast, Western US",2003-01-01,year,info@forensiclogic.com,13023402114,http://www.linkedin.com/company/153209,http://www.facebook.com/forensiclogic,http://twitter.com/ForensicLogic,"3,951",Private,22007959,USD,22007959,11-50,"Government and Military, Information Technology, Privacy and Security, Professional Services",,
AssetMark,https://www.crunchbase.com/organization/assetmark,"Advice, Consulting, Financial Services","Concord, California, United States",$100M to $500M,Active,For Profit,http://www.assetmark.com/,"AssetMark, formerly Genworth Wealth Management, is a leading strategic provider of innovative investment and consulting solutions serving independent financial advisors. They provide investment, relationship and practice management solutions that advisors use in helping clients achieve wealth, independence and purpose.  They serve those advisors who make a difference in the lives of their clients. Often, that's about financial independence. They craft their offering around each advisor's vision so that you can manage clients' wealth with thoughtful purpose.  The firm has approximately $22 billion in assets on its platform and a history of innovation spanning over 20 years.","San Francisco Bay Area, West Coast, Western US",1996-01-01,year,,1(800)822-4227,http://www.linkedin.com/company/assetmark,,http://twitter.com/AssetMark,"27,094",Public,2815000,USD,2815000,501-1000,"Financial Services, Media and Entertainment",AMK,https://www.crunchbase.com/ipo/assetmark-ipo--3dd314a8
"PLEXUSS, INC.",https://www.crunchbase.com/organization/plexuss-com,"EdTech, Education, Social Entrepreneurship, Social Network","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,https://plexuss.com,"PLEXUSS is a high-growth education technology company that is changing the world by leveraging its Global Student Network to connect millions of students everywhere with real opportunity. We connect thousands of qualified students with life-changing educational opportunities daily. PLEXUSS’ exclusive social technology, matching algorithms, big data analytics, and Microsoft Accelerator recognized machine learning help students globally connect with most compatible post-secondary educational opportunities, engaging content, and other students.","San Francisco Bay Area, West Coast, Western US",2014-01-01,day,support@plexuss.com,925-318-5000,https://www.linkedin.com/company/3714277?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3714277%2Cidx%3A2-1-2%2CtarId%3A1485456193038%2Ctas%3Aplexuss.com,https://www.facebook.com/465631496904278,https://www.twitter.com/plexussupdates,"39,402",Private,3057019,USD,3057019,11-50,"Community and Lifestyle, Education, Internet Services, Software",,
Hawthorne Effect,https://www.crunchbase.com/organization/hawthorne-effect-inc,"Clinical Trials, Health Care, Information Technology","Lafayette, California, United States",Less than $1M,Active,For Profit,http://hawthorne-effect.com/,"Hawthorne Effect's mission is to make clinical trials accessible to everyone, everywhere. The company's proactive Visit Management System honors the relationship between sponsors and their investigators and promotes the use of shared technology to ensure protocol compliance and eliminate missing data. By enabling research teams to not only track all of their patients and thousands of data points but deploy specially trained healthcare providers (“HEROs”) to conduct visits anywhere, anytime, Hawthorne Effect ensures that no patients are “lost to follow-up.","San Francisco Bay Area, West Coast, Western US",2015-03-31,day,jodi@hawthorne-effect.com,+1 (415) 735-6838,https://www.linkedin.com/company/hawthorneeffect,https://www.facebook.com/hawthorneeffectinc,https://www.twitter.com/hawthorneheros,"1,351",Private,3100000,USD,3100000,1-10,"Health Care, Information Technology",,
Dribbble,https://www.crunchbase.com/organization/dribbble,"Freelance, Graphic Design, Product Design, Professional Networking, Recruiting, Social Network, Software, UX Design, Web Design","Walnut Creek, California, United States",Less than $1M,Active,For Profit,https://dribbble.com,"Dribbble is an award-winning global community where the world’s top digital designers and creative professionals share, grow, and get hired. Each month millions of people visit Dribbble to get inspired and connect with designers around the world. As a designer-first, fully remote company, Dribbble's mission is to make designers successful–creating features and tools that propel designers and their work to the next level. Dribbble has worked with some of the best design-forward companies like Apple, Airbnb, IDEO, and Slack to help designers level up their careers and find work they love.","San Francisco Bay Area, West Coast, Western US",2009-07-09,day,contact@dribbble.com,,https://www.linkedin.com/company/dribbble/about/?viewAsMember=true,http://www.facebook.com/dribbble,https://twitter.com/dribbble,"14,756,422",Private,,,,11-50,"Community and Lifestyle, Design, Internet Services, Professional Services, Software",,
GNOME,https://www.crunchbase.com/organization/gnome,"Association, Communities, CRM, Information Technology, Non Profit, Software","Orinda, California, United States",Less than $1M,Active,For Profit,http://www.gnome.org/,"GNOME is a non-profit community that develops free software. It believes that software should be developed in the open. The community’s development infrastructure and communication channels are public and its code can be freely downloaded, modified, and shared with others. Recognized as an important part of the free software ecosystem, GNOME works with other free projects to create quality solutions that span the entire software stack. GNOME’s software can be translated into many languages and comes with built-in accessibility features. GNOME was founded on August 15, 1997.","San Francisco Bay Area, West Coast, Western US",1997-08-15,day,security@gnome.org,,https://www.linkedin.com/company/gnome-foundation/,http://www.facebook.com/GNOMEDesktop,http://twitter.com/gnome,"1,882,675",Private,300000,USD,300000,101-250,"Community and Lifestyle, Information Technology, Sales and Marketing, Software",,
MediaJel,https://www.crunchbase.com/organization/mediajel,"Advertising, Digital Marketing, Retail","Walnut Creek, California, United States",$10M to $50M,Active,,https://www.mediajel.com/,"MediaJel is a data-driven digital advertising company that helps brands and retailers build powerful, profitable and distinct relationships with customers through predictive mobile marketing, end-to-end engagement, and personalized advertising campaigns optimized for today’s mobile users.  MediaJel is taking the mobile media revolution further with next-generation location-based marketing intelligence. The in-house team of data scientists and marketing experts can create more vivid, detailed and accurate customer profiles than ever before and hyper-target qualified audiences based on both location and lifestyle. With MediaJel, new and established marketers can boldly engage customers like never before, with highly personalized advertising using state of the art technologies, data scientists and behavioral analysts.","San Francisco Bay Area, West Coast, Western US",2018-01-01,year,,(925) 393-0444,https://www.linkedin.com/company/mediajel/?originalSubdomain=ec,https://it-it.facebook.com/pages/category/Advertising-Marketing/MediaJel-209921219687713/,,122,Private,2600000,USD,2600000,11-50,"Advertising, Commerce and Shopping, Sales and Marketing",,
ZipZap,https://www.crunchbase.com/organization/zipzap-inc,"Financial Services, Mobile, Payments","Orinda, California, United States",$1M to $10M,Active,For Profit,http://www.zipzap.me,"ZipZap is a technology platform for moving money around the world. ZipZap brings significant innovations to the remittance industry by leveraging mobile technologies, digital payment solutions and traditional payment rails, to create a remittance app that is fast, easy and cost efficient.","San Francisco Bay Area, West Coast, Western US",2010-05-01,day,info@zipzap.me,(415)408-7507,http://www.linkedin.com/company/zipzap,http://www.facebook.com/ZipZapInc,http://twitter.com/ZipZap,350,Private,2740500,USD,2740500,11-50,"Financial Services, Mobile, Payments",,
AuditFile,https://www.crunchbase.com/organization/gastke,"Accounting, Cloud Computing, Enterprise Software, SaaS","Walnut Creek, California, United States",Less than $1M,Active,For Profit,http://www.auditfile.com,"AuditFile is the world's first and only cloud solution for CPAs who perform audits. AuditFile is the first cloud based solution for CPA firms that enables unparalleled management of the audit process. AuditFile automates key parts of the audit process, from uploading the trial balance to generating financial statements. They've also developed proprietary algorithms that help auditors identify potential fraud.","San Francisco Bay Area, West Coast, Western US",2011-01-01,year,info@auditfile.com,(888) 502-7001 ,http://www.linkedin.com/company/gastke,http://www.facebook.com/auditfile,http://twitter.com/AuditFile_team,910,Private,6000000,USD,6000000,1-10,"Financial Services, Internet Services, Professional Services, Software",,
WellBrain,https://www.crunchbase.com/organization/wellbrain,"Apps, Health Care, Pharmaceutical, Wearables","Pleasant Hill, California, United States",$1M to $10M,Active,For Profit,http://wellbrain.io,"By prescription only, WellBrain is a scientifically validated, personalized measurable mindfulness platform prescribed by doctors to help the 1.5 billion patients worldwide with chronic pain Founded by a team of Harvard, Stanford and Mayo Clinic trained pain doctors in conjunction with MIT meditation neuroscientist and a Buddhist monk, WellBrain represents a paradigm shift in the assessment and treatment of patients with chronic pain, depression, anxiety, substance abuse, and other mental health disorders.  As a mission-driven company, we only want the best mission-driven investors and team. Our mission is simple- Help your patients & Help mankind.","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,info@wellbrain.io,925-859-5740 ,https://www.linkedin.com/company/painbrain,,,127,Private,788066,USD,788066,1-10,"Apps, Consumer Electronics, Hardware, Health Care, Software",,
"Beyond Lucid Technologies, Inc.",https://www.crunchbase.com/organization/beyond-lucid-technologies,"Autonomous Vehicles, Emergency Medicine, First Aid, Government, Health Care, Public Safety, Ride Sharing, Software","Concord, California, United States",,Active,For Profit,http://www.beyondlucid.com/,"Beyond Lucid Technologies, Inc. (BLT), is a health-and-safety IT firm that develops software packed with innovations that make Fire, Ground and Air Emergency Medical Services, medical transportation and Community Paramedicine / Mobile Integrated Health safer, more efficient and more cost-effective — with a special focus on addressing the scourge of drug addiction. BLT’s “prehospital pipes” connect the dots for partner-clients in 27 U.S. states and Australia, including over 115 hospitals connected to the MEDIVIEW™ BEACON Prehospital Health Information Exchange as of February 2020. The company has been called “Silicon Valley’s Emergency Medical Technology Experts.” Winner of the 2019 Frost & Sullivan Technology Leadership Award for EMS Communications Platform; runner-up for the 2018 East Bay Innovation Award (IT & Comms category); 2014 EMS World Innovation Award and a 2015 JEMS “Hot Product.” Online at <www.BeyondLucid.com>","San Francisco Bay Area, West Coast, Western US",2009-05-01,day,jonathon.feit@beyondlucid.com,6506483727,https://www.linkedin.com/company/beyond-lucid-technologies,https://www.facebook.com/beyondlucid/,http://twitter.com/beyondlucid,,Private,1155300,USD,1155300,11-50,"Government and Military, Health Care, Software, Transportation",,
SYNQY Corporation,https://www.crunchbase.com/organization/synqy,"Ad Network, Content Syndication, E-Commerce, Retail Technology","Pleasant Hill, California, United States",Less than $1M,Active,For Profit,http://www.synqy.com,"SYNQY, an online retail media, enables retailers to monetize existing e-commerce real estate through product-targeted advertisements. The SYNQY Native Product Advertising Network delivers ads to millions of shoppers monthly and runs on over 2,500 retail locations.  It helps brands better promote their products, in their own voice, across retail and reseller sites. It believes giving shoppers the information they want, in an experience they enjoy, at the right time and in the right place will transform the way people buy online.","San Francisco Bay Area, West Coast, Western US",2012-08-16,day,info@synqy.com,925-407-2604,http://www.linkedin.com/company/synqy-corporation,https://www.facebook.com/synqy-276186929415505,http://twitter.com/SYNQY,95,Private,6700000,USD,6700000,1-10,"Advertising, Commerce and Shopping, Content and Publishing, Hardware, Media and Entertainment, Software",,
Lendsnap,https://www.crunchbase.com/organization/lendsnap-inc,"Financial Services, FinTech","Walnut Creek, California, United States",$10M to $50M,Closed,For Profit,https://lendsnap.com/,"Lendsnap transforms how lenders find and serve borrowers. They give mortgage lenders a borrower concierge to automate gathering and sharing qualifying documents. They automate loan documentation by linking borrower financial accounts to collect original documents such as bank statements, W2's, tax returns, and pay stubs.","San Francisco Bay Area, West Coast, Western US",2014-03-01,month,orion@lendsnap.com,+119167615961,https://www.linkedin.com/company/lendsnap,https://www.facebook.com/Lendsnap-723816921041992/,https://twitter.com/lendsnap,,Private,120000,USD,120000,1-10,Financial Services,,
LightRiver Technologies,https://www.crunchbase.com/organization/lightriver-technologies,"Optical Communication, Service Industry, Telecommunications, Transportation","Concord, California, United States",$10M to $50M,Active,For Profit,http://lightriver.com,"LightRiver, a multi-vendor integrator of transport solutions for mission-critical networks, specializes in the design and engineering, integrating, and commissioning of optical networks for utilities, service providers, transit, education, and state and local government. The company offers consult and architect services, such as services development consulting, technology analysis, network upgrade planning, compliance consulting, and more; design and engineering; installation and integration; train and support; and fiber optic characterization and optimization services.","San Francisco Bay Area, West Coast, Western US",1998-01-01,year,RMA@lightriver.com,(925)363-9000,https://www.linkedin.com/company/lightriver-technologies/,,https://twitter.com/lightriver_tech,"2,883",Private,3800000,USD,3800000,51-100,"Hardware, Transportation",,
Liquidity Nanotech Corporation,https://www.crunchbase.com/organization/liquidity-nanotech,"Nanotechnology, Water, Water Purification","Concord, California, United States",Less than $1M,Active,For Profit,http://www.liquico.com,"Liquidity manufactures breakthrough water purification cartridges, based on revolutionary membrane nanoscience, to solve the world's potable water needs. Pour any non-salt water through their cartridge and drink it safely. It's that simple. No chemicals, no power nor pressure. Their product will save millions of lives currently lost to preventable waterborne diseases.","San Francisco Bay Area, West Coast, Western US",2009-09-01,day,info@liquico.com,(925)825-1960,http://www.linkedin.com/company/liquidity-corporation-us,https://www.facebook.com/pages/NakedFilter/1569193036677798?fref=ts,https://twitter.com/NakedFilter,70,Private,10634054,USD,10634054,11-50,"Natural Resources, Science and Engineering, Sustainability",,
OCHO Candy,https://www.crunchbase.com/organization/ocho-candy-five-star-organics,"Food and Beverage, Organic, Organic Food","Lafayette, California, United States",$1M to $10M,Active,For Profit,http://www.ochocandy.com,OCHO Candy provides an organic alternative to traditional candy bars. The company was founded in 2011.,"San Francisco Bay Area, West Coast, Western US",2011-01-01,year,info@ochocandy.com,,https://www.linkedin.com/company/ocho-candy/,https://www.facebook.com/ochocandy,https://www.twitter.com/ochocandy,"3,341",Private,7761000,USD,7761000,11-50,"Food and Beverage, Sustainability",,
Insynctive,https://www.crunchbase.com/organization/insynctive,"CRM, Employee Benefits, Human Resources, Outsourcing, SaaS, Small and Medium Businesses, Software","Walnut Creek, California, United States",Less than $1M,Active,For Profit,http://www.insynctive.com/,"Different than a benefits administration and human capital system, Insynctive is at the intersection of data and intelligence/ knowledge.  You can think of Insynctive as a MuleSoft with the database of record and database integration, synchronization of data and management services.   Insynctive is a modular, white label, cloud based platform that helps Service Providers, their clients and their employees.  Insynctive automates the Pre-hire, Onboarding and provisioning process, drives employee validated data to our HRIS and Benefit Administration for small and large corporations plus we have our Insynctive Integrated  Marketplace™ of pre-integrated third party products and services.   Our Value proposition is that we help service providers such as benefits brokers, HR Outsourcers, Professional Employer Organizations (PEOs), Accounting and Tax groups, Administrators, Payroll companies, payroll service bureaus compete against the tech brokers, cross-sell products and services, generate new income and helps their client companies avoid compliance challenges, reduce costs, and greater profits.  Insynctive helps corporations also improve employee morale which improves productivity, and improves the bottom line.","San Francisco Bay Area, West Coast, Western US",2012-01-01,year,,(650) 282-3240,https://www.linkedin.com/company/insynctive,,http://twitter.com/insynctive,443,Private,4651000,USD,4651000,11-50,"Health Care, Information Technology, Professional Services, Sales and Marketing, Software",,
Monti Kids,https://www.crunchbase.com/organization/monti-kids,Education,"Orinda, California, United States",Less than $1M,Active,,http://montikids.com,,"San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,https://www.linkedin.com/company/monti-kids,https://www.facebook.com/montikids,https://twitter.com/MontiKids,"96,234",Private,1125000,USD,1125000,1-10,Education,,
Agralogics,https://www.crunchbase.com/organization/agralogics,"Analytics, Artificial Intelligence, Geospatial, Hospitality, Information Technology, SaaS, Software","Walnut Creek, California, United States",$1M to $10M,Active,,http://www.agralogics.com,Agralogics is making layers upon layers of pixelated geospatial data easily and instantaneously accessible for the food ecosystem. We are on the road to giving the food ecosystem: 1. Easy access to public and personal data 2. Intuitive data visualization and insight 3. Actionable intelligence to drive decisions 4. Indispensable predictive analytics capabilities,"San Francisco Bay Area, West Coast, Western US",2013-01-01,year,info@agralogics.com, 	408-476-1190,https://www.linkedin.com/company/agralogics,,,48,Private,180000,USD,180000,11-50,"Artificial Intelligence, Data and Analytics, Information Technology, Navigation and Mapping, Science and Engineering, Software, Travel and Tourism",,
BASU,https://www.crunchbase.com/organization/robocopp,"Manufacturing, Public Safety, Security, Wearables","Orinda, California, United States",,Active,For Profit,https://www.BASU.COM,"BASU is a consumer electronics company that builds products and solutions for personal safety. They design and manufactures personal safety devices with their eAlarm features. eAlarm can be used while traveling, hiking, jogging, commuting, or out exploring.  BASU was founded in 2015 and is based in Orinda, California.","San Francisco Bay Area, West Coast, Western US",2015-04-01,month,Hello@basu.com,1-804-571-2278,https://www.linkedin.com/company/6456352/,https://www.facebook.com/BASUAmerica/?ref=br_rs,https://www.twitter.com/basuamerica,"7,364",Private,770622,USD,770622,1-10,"Consumer Electronics, Government and Military, Hardware, Manufacturing, Privacy and Security",,
Magpie Travel,https://www.crunchbase.com/organization/magpie-travel,Software,"Walnut Creek, California, United States",,Active,For Profit,https://about.magpie.travel/,"Magpie allows tour and activity operators to manage beautifully written, accurate and up-to-date product information, and publish that content to multiple channels, including their own website and app, in multiple languages. For resellers, it simplifies the process of finding and on-boarding content of the highest quality.","San Francisco Bay Area, West Coast, Western US",2019-01-16,day,christian@magpie.travel,4152007132,https://www.linkedin.com/company/magpie-travel-inc/,https://www.facebook.com/magpietravelinc/,,411,Private,300000,USD,300000,1-10,Software,,
Candi Controls,https://www.crunchbase.com/organization/candi-controls,"Cloud Data Services, Enterprise Software, SaaS, Software","Lafayette, California, United States",,Active,,http://www.candicontrols.com,"Candi Controls, Inc. (“Candi”) is an early stage Lafayette, California based company. Candi’s cloud-based service connects energy companies, telecoms, MSOs and manufacturers to the widest array of everyday devices in their customers’ homes and businesses. Today’s proliferation of affordable networked products, wireless access and mobile devices marks the beginning of a new era of distributed connectivity. But the web of networked “things” is also highly disaggregated. It is a maze of competing communications mechanisms, hardware platforms, device protocols, software languages and data formats. The Candi team is expert at bridging these technical differences. We make machine-to-machine communications (M2M) and multi-system integration transparent for businesses and their customers. We have decades of leadership experience with systems integration, award-winning user interfaces, innovative networked product design, building controls software, AMR and distributed data management. Candi Cloud Service and applications interconnect the Web of Things. Our API, Drivers and Interface Library link products, protocols and relevant data over the web. We enable competitive advantages and compelling interfaces to empower device control, monitoring, data acquisition and service, regardless of platform, protocol, environment or manufacturer. This allows businesses to extend their brand footprint, reach more devices, and offer more value to commercial and residential customers over the web. Candi’s target market is service providers in the energy and telecommunications/data industries, specifically utilities, telecoms, MSOs, and the systems integrators and manufacturers associated with those industries. Geographic targets are the Americas, Europe/UK and the Middle East, and developed Australasia.","San Francisco Bay Area, West Coast, Western US",2009-01-01,year,info@candicontrols.com,9253880833,https://www.linkedin.com/company/candi-controls,http://www.facebook.com/pages/Candi-Controls/198718126934986,https://www.twitter.com/candicontrols,,Private,1900000,USD,1900000,11-50,"Information Technology, Internet Services, Software",,
ASG,https://www.crunchbase.com/organization/alpine-sg,"Information Technology, SaaS, Software","Walnut Creek, California, United States",,Active,,https://alpinesg.com/,"ASG buys, builds, and operates market-leading vertical SaaS companies. Not to be confused with a venture capital or traditional private equity (or a super-sized software conglomerate for that matter), we invest in people and companies for the long haul. Each company runs independently yet benefits from shared expertise, resources, capital, and community","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,hello@alpinesg.com,,https://in.linkedin.com/company/alpine-sg,https://www.facebook.com/AlpineSG,,"1,124",Private,,,,11-50,"Information Technology, Software",,
